Title,Price,Rating,ReviewCount,ASIN,Link,ImageURL
"Baby GUND, Lil’ Luvs Collection Emory Fox Plush Stuffed Animal, Orange and Cream, 12”",18.,4.7,,B07MH5ZNGN,https://www.amazon.ca/Collection-Emory-Stuffed-Animal-Orange/dp/B07MH5ZNGN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-5,https://m.media-amazon.com/images/I/71MDMZ6PsWL._AC_UL320_.jpg
"Wild Republic Pocketkins Eco Sea Otter, Stuffed Animal, 5 Inches, Plush Toy, Made from Recycled Materials, Eco Friendly",10.,4.6,,B0D1Z3ZHR5,https://www.amazon.ca/Republic-Pocketkins-Recycled-Materials-Friendly/dp/B0D1Z3ZHR5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-6,https://m.media-amazon.com/images/I/71batjIqgiL._AC_UL320_.jpg
"Wild Republic Sea Turtle Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Sea Critters 9""",10.,4.7,,B07BR8TR3K,https://www.amazon.ca/Wild-Republic-Turtle-Stuffed-Critters/dp/B07BR8TR3K/ref=sr_1_7?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-7,https://m.media-amazon.com/images/I/81MhxiX1lhL._AC_UL320_.jpg
"GUND Official PAW Patrol Marshall in Signature Firefighter Uniform Plush Toy, Stuffed Animal for Ages 1 and Up, 6"" (Styles May Vary)",12.,4.6,,B08FCQV435,https://www.amazon.ca/Gund-6056508-PawPatrol-Marshall-6/dp/B08FCQV435/ref=sr_1_8?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-8,https://m.media-amazon.com/images/I/71djogVxHbL._AC_UL320_.jpg
"Baby GUND Lil’ Luvs Collection, Bodi Giraffe Premium Plush Stuffed Animal for Babies, Yellow/Brown, 12”",27.,4.7,,B09QH5FYQB,https://www.amazon.ca/Gund-6065329-GUND-Luvs-Giraffe/dp/B09QH5FYQB/ref=sr_1_9?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-9,https://m.media-amazon.com/images/I/71ySVTIzikL._AC_UL320_.jpg
"GUND Cozys Collection Cow, Stuffed Animal for Ages 1 and Up, Spring Decor Plush Toy, Cream/Blue, 10”",27.,4.9,,B0B5G8MJJF,https://www.amazon.ca/Cozys-Collection-Stuffed-Animal-Plush/dp/B0B5G8MJJF/ref=sr_1_10?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-10,https://m.media-amazon.com/images/I/71rJiegfQlL._AC_UL320_.jpg
"Melissa & Doug Burrow Bunny Stuffed Animal Plushie with Big Feet, Floppy Ears & Fluffy Tail, Adorable Pretend Play Toddler Toys for Girls & Boys 3+",29.,4.5,,B004N7NFSK,https://www.amazon.ca/Melissa-Doug-Burrow-Rabbit-Stuffed/dp/B004N7NFSK/ref=sr_1_11?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-11,https://m.media-amazon.com/images/I/81o0WqeneWL._AC_UL320_.jpg
"GUND Randle Bernese Mountain Dog, Premium Stuffed Animal Plush for Ages 1 and Up, Black/Brown, 13”",32.,4.6,,B00IUFCCLC,https://www.amazon.ca/Gund-Randle-Dog-Bernese-Mountain/dp/B00IUFCCLC/ref=sr_1_12?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-12,https://m.media-amazon.com/images/I/71e4QZysiXL._AC_UL320_.jpg
"Wild Republic Penguin Plush, Stuffed Animal Plushtoy, Gifts for Kids, Cuddlekins, 7.5""",14.,4.8,,B00705XMQM,https://www.amazon.ca/Wild-Republic-Penguin-Plushtoy-Cuddlekins/dp/B00705XMQM/ref=sr_1_13?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-13,https://m.media-amazon.com/images/I/51U2mdQ32jL._AC_UL320_.jpg
"Wild Republic Fawn Plush, Stuffed Animal, Plush Toy, Gifts for Kids, Cuddlekins 9 inches",15.,4.7,,B008RNB69G,https://www.amazon.ca/Wild-Republic-Stuffed-Animal-Cuddlekins/dp/B008RNB69G/ref=sr_1_14?dib=eyJ2IjoiMSJ9.DZNKclehhy9PyMAjVh7Xz0nttcDkbseWIjkmBijaE9YAcpTAfoLlaeNqPgYn__I057AEcqS7vZmyBr3nsGgrKeMOl8aNwxh6BDVn0nMOZ2e-ggr_PzuZfXXF6ZQlmrTFEXtL-XiNcfGBoWl52iqgULlLJ_45x6Zywv3aBiVZgHpmr9aIcJ-3Y1iN8-V5bAszb2YHeLx9-eKyHeVVVjUeG7BMIXcAHrMqFFeuJQd5j4NBjJKwJ9HQJ_ByAMqPpaeDkMOK3yZv7F_BzBfA7SwatvHJzepRMkBtibpQZ__4S7I.mGUZ18TWJQyBWQv13czzwAKUPfIEni7Gdn_m7zIGtOo&dib_tag=se&keywords=stuffed+animals&qid=1771951088&sr=8-14,https://m.media-amazon.com/images/I/61QNTLgDe5L._AC_UL320_.jpg
